word1	word2	word3
交互技术	交互技术	交互技术
答案	答案	答案
模态	模态	模态
华人	华人	华人
手段	手段	手段
汉族	汉族	汉族
语句	语句	语句
民族	民族	民族
资源	资源	资源
总称	总称	总称
效果	效果	效果
内涵	内涵	内涵
细究	细究	细究
特定条件	特定条件	特定条件
计算技术	计算技术	计算技术
语词	语词	语词
检测	检测	检测
专指	专指	专指
事实	事实	事实
管理	管理	管理
话语	话语	话语
语篇	语篇	语篇
词法	词法	词法
句法	句法	句法
语用	语用	语用
信息安全	信息安全	信息安全
局限性	局限性	局限性
语音输入	语音输入	语音输入
电气	电气	电气
字面上	字面上	字面上
侧重于	侧重于	侧重于
有害信息	有害信息	有害信息
计算方法	计算方法	计算方法
偏向	偏向	偏向
工程	工程	工程
地区	地区	地区
态度	态度	态度
人口数量	人口数量	人口数量
部分	部分	部分
地域	地域	地域
时间	时间	时间
数学家	数学家	数学家
主题	主题	主题
化所	化所	化所
哲学	哲学	哲学
主观	主观	主观
面向	面向	面向
博士学位	博士学位	博士学位
个体	个体	个体
游戏	游戏	游戏
规定	规定	规定
来源	来源	来源
百姓	百姓	百姓
实体	实体	实体
几率	几率	几率
程度	程度	程度
海量	海量	海量
情报检索	情报检索	情报检索
导师	导师	导师
方向	方向	方向
准则	准则	准则
任务	任务	任务
句型	句型	句型
模式识别	模式识别	模式识别
后者	后者	后者
单位	单位	单位
研究所	研究所	研究所
国家标准	国家标准	国家标准
实验室	实验室	实验室
特指	特指	特指
编码	编码	编码
评论	评论	评论
字形	字形	字形
编辑	编辑	编辑
政策法规	政策法规	政策法规
字频	字频	字频
网民	网民	网民
部门	部门	部门
产品	产品	产品
公司	公司	公司
用途	用途	用途
图形	图形	图形
传递信息	传递信息	传递信息
热点	热点	热点
向性	向性	向性
短语	短语	短语
语料库	语料库	语料库
归类	归类	归类
网页	网页	网页
角落	角落	角落
做客	做客	做客
人机	人机	人机
极具	极具	极具
挑战性	挑战性	挑战性
研究课题	研究课题	研究课题
全球	全球	全球
和梦	和梦	和梦
专委会	专委会	专委会
认知科学	认知科学	认知科学
逻辑学	逻辑学	逻辑学
心理学	心理学	心理学
信息技术	信息技术	信息技术
现实	现实	现实
不确定性	不确定性	不确定性
常务理事	常务理事	常务理事
理是	理是	理是
意义	意义	意义
价值	价值	价值
主席	主席	主席
交流思想	交流思想	交流思想
候任	候任	候任
委员	委员	委员
物质	物质	物质
外壳	外壳	外壳
记录	记录	记录
人性化	人性化	人性化
人际	人际	人际
评测	评测	评测
壁垒	壁垒	壁垒
企图	企图	企图
声音	声音	声音
意图	意图	意图
信息时代	信息时代	信息时代
灵活性	灵活性	灵活性
客观	客观	客观
对应	对应	对应
特殊津贴	特殊津贴	特殊津贴
政府	政府	政府
角度	角度	角度
优秀教师	优秀教师	优秀教师
复杂度	复杂度	复杂度
种族	种族	种族
语声	语声	语声
学术	学术	学术
学报	学报	学报
信息化	信息化	信息化
时代	时代	时代
专家	专家	专家
语言障碍	语言障碍	语言障碍
制约	制约	制约
学术期刊	学术期刊	学术期刊
因素	因素	因素
符号	符号	符号
实际	实际	实际
辅助工具	辅助工具	辅助工具
语符	语符	语符
利用计算机	利用计算机	利用计算机
书面形式	书面形式	书面形式
口头	口头	口头
科学家	科学家	科学家
思想	思想	思想
研制	研制	研制
咨询	咨询	咨询
对机	对机	对机
评估	评估	评估
大会	大会	大会
味道	味道	味道
文献	文献	文献
学术界	学术界	学术界
统一	统一	统一
解释性	解释性	解释性
影响	影响	影响
百科全书	百科全书	百科全书
电子	电子	电子
数字	数字	数字
数据	数据	数据
元素	元素	元素
频率	频率	频率
有点	有点	有点
研究院	研究院	研究院
核心	核心	核心
科学研究	科学研究	科学研究
口语	口语	口语
纯理论	纯理论	纯理论
指导	指导	指导
译著	译著	译著
中心	中心	中心
历时	历时	历时
历史	历史	历史
口耳	口耳	口耳
神经	神经	神经
自动化所	自动化所	自动化所
设备	设备	设备
测量	测量	测量
气流	气流	气流
合作项目	合作项目	合作项目
声波	声波	声波
支配	支配	支配
性质	性质	性质
计划	计划	计划
关心	关心	关心
错觉	错觉	错觉
外国人	外国人	外国人
办法	办法	办法
贡人	贡人	贡人
计算机技术	计算机技术	计算机技术
又称	又称	又称
